Project Name ▲,Sample ID,Source,Strategy,Selection,Layout,File Name,File Path,accession,experiment,instrument,run,spots,bases,size,published
Amazon Plume Metagenomes,SAMN02628402,METAGENOMIC,WGS,RANDOM,paired,SRR1185413_1.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR1185413_1.fastq.gz,SRR1185413,SRX482825,Illumina Genome Analyzer IIx,SRR1185413,"6,967,070",2.1G,1.2Gb,3/8/14
Amazon Plume Metagenomes,SAMN02628402,METAGENOMIC,WGS,RANDOM,paired,SRR1185413_2.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR1185413_2.fastq.gz,SRR1185413,SRX482825,Illumina Genome Analyzer IIx,SRR1185413,"6,967,070",2.1G,1.2Gb,3/8/14
Amazon Plume Metagenomes,SAMN02628404,METAGENOMIC,WGS,RANDOM,paired,SRR1182512_1.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR1182512_1.fastq.gz,SRR1182512,SRX480925,Illumina Genome Analyzer IIx,SRR1182512,"5,345,414",1.6G,986.3Mb,7/22/15
Amazon Plume Metagenomes,SAMN02628404,METAGENOMIC,WGS,RANDOM,paired,SRR1182512_2.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR1182512_2.fastq.gz,SRR1182512,SRX480925,Illumina Genome Analyzer IIx,SRR1182512,"5,345,414",1.6G,986.3Mb,7/22/15
Amazon Plume Metagenomes,SAMN02628405,METAGENOMIC,WGS,RANDOM,paired,SRR1186214_1.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR1186214_1.fastq.gz,SRR1186214,SRX483565,Illumina Genome Analyzer IIx,SRR1186214,"1,330,024",401.7M,246Mb,3/10/14
Amazon Plume Metagenomes,SAMN02628405,METAGENOMIC,WGS,RANDOM,paired,SRR1186214_2.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR1186214_2.fastq.gz,SRR1186214,SRX483565,Illumina Genome Analyzer IIx,SRR1186214,"1,330,024",401.7M,246Mb,3/10/14
Amazon Plume Metagenomes,SAMN02628407,METAGENOMIC,WGS,RANDOM,paired,SRR1204581_1.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR1204581_1.fastq.gz,SRR1204581,SRX500867,Illumina Genome Analyzer IIx,SRR1204581,"9,688,114",2.9G,1.7Gb,3/25/14
Amazon Plume Metagenomes,SAMN02628407,METAGENOMIC,WGS,RANDOM,paired,SRR1204581_2.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR1204581_2.fastq.gz,SRR1204581,SRX500867,Illumina Genome Analyzer IIx,SRR1204581,"9,688,114",2.9G,1.7Gb,3/25/14
Amazon Plume Metagenomes,SAMN02628409,METAGENOMIC,WGS,RANDOM,paired,SRR1199270_1.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR1199270_1.fastq.gz,SRR1199270,SRX495672,Illumina MiSeq,SRR1199270,"4,492,801",1.4G,825.9Mb,3/19/14
Amazon Plume Metagenomes,SAMN02628409,METAGENOMIC,WGS,RANDOM,paired,SRR1199270_2.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR1199270_2.fastq.gz,SRR1199270,SRX495672,Illumina MiSeq,SRR1199270,"4,492,801",1.4G,825.9Mb,3/19/14
Amazon Plume Metagenomes,SAMN02628412,METAGENOMIC,WGS,RANDOM,paired,SRR1199271_1.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR1199271_1.fastq.gz,SRR1199271,SRX495673,Illumina Genome Analyzer IIx,SRR1199271,"1,325,778",400.4M,239.7Mb,3/19/14
Amazon Plume Metagenomes,SAMN02628412,METAGENOMIC,WGS,RANDOM,paired,SRR1199271_2.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR1199271_2.fastq.gz,SRR1199271,SRX495673,Illumina Genome Analyzer IIx,SRR1199271,"1,325,778",400.4M,239.7Mb,3/19/14
Amazon Plume Metagenomes,SAMN02628414,METAGENOMIC,WGS,RANDOM,paired,SRR1205252_1.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR1205252_1.fastq.gz,SRR1205252,SRX501405,Illumina Genome Analyzer IIx,SRR1205252,"280,798",84.8M,51.1Mb,3/26/14
Amazon Plume Metagenomes,SAMN02628414,METAGENOMIC,WGS,RANDOM,paired,SRR1205252_2.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR1205252_2.fastq.gz,SRR1205252,SRX501405,Illumina Genome Analyzer IIx,SRR1205252,"280,798",84.8M,51.1Mb,3/26/14
Amazon Plume Metagenomes,SAMN02628416,METAGENOMIC,WGS,RANDOM,paired,SRR1209977_1.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR1209977_1.fastq.gz,SRR1209977,SRX504487,Illumina Genome Analyzer IIx,SRR1209977,"4,653,338",1.4G,861Mb,7/22/15
Amazon Plume Metagenomes,SAMN02628416,METAGENOMIC,WGS,RANDOM,paired,SRR1209977_2.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR1209977_2.fastq.gz,SRR1209977,SRX504487,Illumina Genome Analyzer IIx,SRR1209977,"4,653,338",1.4G,861Mb,7/22/15
Amazon Plume Metagenomes,SAMN02628417,METAGENOMIC,WGS,RANDOM,paired,SRR1205253_1.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR1205253_1.fastq.gz,SRR1205253,SRX501433,Illumina Genome Analyzer IIx,SRR1205253,"3,318,580",1G,604.1Mb,3/26/14
Amazon Plume Metagenomes,SAMN02628417,METAGENOMIC,WGS,RANDOM,paired,SRR1205253_2.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR1205253_2.fastq.gz,SRR1205253,SRX501433,Illumina Genome Analyzer IIx,SRR1205253,"3,318,580",1G,604.1Mb,3/26/14
Amazon Plume Metagenomes,SAMN02628420,METAGENOMIC,WGS,RANDOM,paired,SRR1202090_1.fastq.gz,/iplant/home/shared/planetmicrobe/sra/SRR1202090_1.fastq.gz,SRR1202090,SRX498866,Illumina Genome Analyzer IIx,SRR1202090,"263,173",79.5M,47.8Mb,3/24/14
