accession,experiment,experiment,instrument,run,spots,bases,size,published
SRR1185413,SRX482825,SRX482825[accn],Illumina Genome Analyzer IIx,SRR1185413,"6,967,070",2.1G,1.2Gb,3/8/14
SRR1185413,SRX482825,SRX482825[accn],Illumina Genome Analyzer IIx,SRR1185413,"6,967,070",2.1G,1.2Gb,3/8/14
SRR1182512,SRX480925,SRX480925[accn],Illumina Genome Analyzer IIx,SRR1182512,"5,345,414",1.6G,986.3Mb,7/22/15
SRR1182512,SRX480925,SRX480925[accn],Illumina Genome Analyzer IIx,SRR1182512,"5,345,414",1.6G,986.3Mb,7/22/15
SRR1186214,SRX483565,SRX483565[accn],Illumina Genome Analyzer IIx,SRR1186214,"1,330,024",401.7M,246Mb,3/10/14
SRR1186214,SRX483565,SRX483565[accn],Illumina Genome Analyzer IIx,SRR1186214,"1,330,024",401.7M,246Mb,3/10/14
SRR1204581,SRX500867,SRX500867[accn],Illumina Genome Analyzer IIx,SRR1204581,"9,688,114",2.9G,1.7Gb,3/25/14
SRR1204581,SRX500867,SRX500867[accn],Illumina Genome Analyzer IIx,SRR1204581,"9,688,114",2.9G,1.7Gb,3/25/14
SRR1199270,SRX495672,SRX495672[accn],Illumina MiSeq,SRR1199270,"4,492,801",1.4G,825.9Mb,3/19/14
SRR1199270,SRX495672,SRX495672[accn],Illumina MiSeq,SRR1199270,"4,492,801",1.4G,825.9Mb,3/19/14
SRR1199271,SRX495673,SRX495673[accn],Illumina Genome Analyzer IIx,SRR1199271,"1,325,778",400.4M,239.7Mb,3/19/14
SRR1199271,SRX495673,SRX495673[accn],Illumina Genome Analyzer IIx,SRR1199271,"1,325,778",400.4M,239.7Mb,3/19/14
SRR1205252,SRX501405,SRX501405[accn],Illumina Genome Analyzer IIx,SRR1205252,"280,798",84.8M,51.1Mb,3/26/14
SRR1205252,SRX501405,SRX501405[accn],Illumina Genome Analyzer IIx,SRR1205252,"280,798",84.8M,51.1Mb,3/26/14
SRR1209977,SRX504487,SRX504487[accn],Illumina Genome Analyzer IIx,SRR1209977,"4,653,338",1.4G,861Mb,7/22/15
SRR1209977,SRX504487,SRX504487[accn],Illumina Genome Analyzer IIx,SRR1209977,"4,653,338",1.4G,861Mb,7/22/15
SRR1205253,SRX501433,SRX501433[accn],Illumina Genome Analyzer IIx,SRR1205253,"3,318,580",1G,604.1Mb,3/26/14
SRR1205253,SRX501433,SRX501433[accn],Illumina Genome Analyzer IIx,SRR1205253,"3,318,580",1G,604.1Mb,3/26/14
SRR1202090,SRX498866,SRX498866[accn],Illumina Genome Analyzer IIx,SRR1202090,"263,173",79.5M,47.8Mb,3/24/14
SRR1202090,SRX498866,SRX498866[accn],Illumina Genome Analyzer IIx,SRR1202090,"263,173",79.5M,47.8Mb,3/24/14
SRR1202091,SRX498867,SRX498867[accn],Illumina Genome Analyzer IIx,SRR1202091,"4,217,191",1.3G,749.4Mb,3/24/14
SRR1202091,SRX498867,SRX498867[accn],Illumina Genome Analyzer IIx,SRR1202091,"4,217,191",1.3G,749.4Mb,3/24/14
SRR1183650,SRX481234,SRX481234[accn],Illumina Genome Analyzer IIx,SRR1183650,"6,327,144",1.9G,1.1Gb,7/22/15
SRR1183650,SRX481234,SRX481234[accn],Illumina Genome Analyzer IIx,SRR1183650,"6,327,144",1.9G,1.1Gb,7/22/15
SRR4831650,SRX2319966,SRX2319966[accn],Illumina HiSeq 2500,SRR4831650,"11,753,220",3.5G,2Gb,11/9/16
SRR4831650,SRX2319966,SRX2319966[accn],Illumina HiSeq 2500,SRR4831650,"11,753,220",3.5G,2Gb,11/9/16
SRR4831648,SRX2319964,SRX2319964[accn],Illumina HiSeq 2500,SRR4831648,"16,415,572",4.9G,2.8Gb,11/9/16
SRR4831648,SRX2319964,SRX2319964[accn],Illumina HiSeq 2500,SRR4831648,"16,415,572",4.9G,2.8Gb,11/9/16
SRR4831658,SRX2319974,SRX2319974[accn],Illumina HiSeq 2500,SRR4831658,"406,852",122.1M,82.5Mb,11/9/16
SRR4831658,SRX2319974,SRX2319974[accn],Illumina HiSeq 2500,SRR4831658,"406,852",122.1M,82.5Mb,11/9/16
SRR4831661,SRX2319977,SRX2319977[accn],Illumina HiSeq 2500,SRR4831661,"3,891,471",972.9M,548.9Mb,11/9/16
SRR4831662,SRX2319978,SRX2319978[accn],Illumina HiSeq 2500,SRR4831662,"10,555,642",2.6G,1.4Gb,11/9/16
SRR4831663,SRX2319979,SRX2319979[accn],Illumina HiSeq 2500,SRR4831663,"1,422,585",355.6M,200Mb,11/9/16
SRR4831664,SRX2319980,SRX2319980[accn],Illumina HiSeq 2500,SRR4831664,"21,455,577",5.4G,2.9Gb,11/9/16
SRR4831666,SRX2319982,SRX2319982[accn],Illumina HiSeq 2500,SRR4831666,"14,289,517",3.6G,2Gb,11/9/16
SRR4831655,SRX2319971,SRX2319971[accn],Illumina HiSeq 2500,SRR4831655,"19,046,266",4.8G,2.6Gb,11/9/16
SRR4831657,SRX2319973,SRX2319973[accn],Illumina HiSeq 2500,SRR4831657,"15,460,964",3.9G,2.1Gb,11/9/16
SRR4831646,SRX2319962,SRX2319962[accn],Illumina HiSeq 2500,SRR4831646,"7,523,737",2.3G,938.4Mb,11/9/16
SRR4831644,SRX2319960,SRX2319960[accn],Illumina HiSeq 2500,SRR4831644,"12,104,433",3.6G,1.5Gb,11/9/16
SRR4831644,SRX2319960,SRX2319960[accn],Illumina HiSeq 2500,SRR4831644,"12,104,433",3.6G,1.5Gb,11/9/16
SRR1786279,SRX864952,SRX864952[accn],Illumina HiSeq 2500,SRR1786279,"14,458,013",4.3G,1.8Gb,7/30/15
SRR1786279,SRX864952,SRX864952[accn],Illumina HiSeq 2500,SRR1786279,"14,458,013",4.3G,1.8Gb,7/30/15
SRR1786608,SRX865120,SRX865120[accn],Illumina HiSeq 2500,SRR1786608,"7,062,334",2.1G,1.3Gb,7/31/15
SRR1786608,SRX865120,SRX865120[accn],Illumina HiSeq 2500,SRR1786608,"7,062,334",2.1G,1.3Gb,7/31/15
SRR1787940,SRX865473,SRX865473[accn],Illumina HiSeq 2500,SRR1787940,"20,124,328",6G,2.3Gb,7/31/15
SRR1787940,SRX865473,SRX865473[accn],Illumina HiSeq 2500,SRR1787940,"20,124,328",6G,2.3Gb,7/31/15
SRR1788318,SRX865668,SRX865668[accn],Illumina HiSeq 2500,SRR1788318,"35,168,240",10.6G,6.7Gb,7/31/15
SRR1788318,SRX865668,SRX865668[accn],Illumina HiSeq 2500,SRR1788318,"35,168,240",10.6G,6.7Gb,7/31/15
SRR1790489,SRX866353,SRX866353[accn],Illumina HiSeq 2500,SRR1790489,"8,960,746",2.7G,1.7Gb,7/31/15
SRR1790489,SRX866353,SRX866353[accn],Illumina HiSeq 2500,SRR1790489,"8,960,746",2.7G,1.7Gb,7/31/15
SRR1790646,SRX866600,SRX866600[accn],Illumina HiSeq 2500,SRR1790646,"10,154,480",3G,1.8Gb,7/31/15
SRR1790646,SRX866600,SRX866600[accn],Illumina HiSeq 2500,SRR1790646,"10,154,480",3G,1.8Gb,7/31/15
SRR1790676,SRX866630,SRX866630[accn],Illumina HiSeq 2500,SRR1790676,"30,212,843",9.1G,5.7Gb,7/31/15
SRR1790676,SRX866630,SRX866630[accn],Illumina HiSeq 2500,SRR1790676,"30,212,843",9.1G,5.7Gb,7/31/15
SRR1790679,SRX866632,SRX866632[accn],Illumina HiSeq 2500,SRR1790679,"10,896,624",3.3G,1.9Gb,7/31/15
SRR1790679,SRX866632,SRX866632[accn],Illumina HiSeq 2500,SRR1790679,"10,896,624",3.3G,1.9Gb,7/31/15
SRR1792674,SRX868336,SRX868336[accn],Illumina HiSeq 2500,SRR1792674,"8,421,219",2.5G,1.5Gb,7/31/15
SRR1792674,SRX868336,SRX868336[accn],Illumina HiSeq 2500,SRR1792674,"8,421,219",2.5G,1.5Gb,7/31/15
SRR1793861,SRX869280,SRX869280[accn],Illumina HiSeq 2500,SRR1793861,"8,244,737",2.5G,970.7Mb,7/31/15
SRR1793861,SRX869280,SRX869280[accn],Illumina HiSeq 2500,SRR1793861,"8,244,737",2.5G,970.7Mb,7/31/15
SRR1796116,SRX871251,SRX871251[accn],Illumina HiSeq 2500,SRR1796116,"31,514,623",9.5G,3.6Gb,7/31/15
