accession,experiment
ERR315856,ERX289004
ERR315856,ERX289004
ERR164409,ERX140286
ERR315858,ERX289007
ERR315858,ERX289007
ERR315861,ERX289009
ERR315861,ERX289009
ERR164408,ERX140285
ERR315859,ERX289006
ERR315859,ERX289006
ERR315860,ERX289008
ERR315860,ERX289008
ERR164407,ERX140284
ERR315862,ERX289010
ERR315862,ERX289010
ERR315863,ERX289011
ERR315863,ERX289011
ERR318618,ERX291766
ERR318618,ERX291766
ERR318619,ERX291768
ERR318619,ERX291768
ERR318620,ERX291769
ERR318620,ERX291769
ERR318621,ERX291767
ERR318621,ERX291767
ERR164424,ERX140299
ERR598955,ERX555964
ERR598955,ERX555964
ERR599003,ERX556024
ERR599003,ERX556024
ERR164420,ERX140295
ERR598950,ERX556067
ERR598950,ERX556067
ERR599095,ERX555913
ERR599095,ERX555913
ERR164413,ERX140302
ERR594288,ERX552288
ERR594288,ERX552288
ERR594316,ERX552251
ERR594316,ERX552251
ERR594317,ERX552248
ERR594317,ERX552248
ERR594315,ERX552291
ERR594315,ERX552291
ERR594329,ERX552303
ERR594329,ERX552303
ERR598993,ERX555914
ERR598993,ERX555914
ERR599140,ERX556002
ERR599140,ERX556002
ERR599073,ERX556039
ERR599073,ERX556039
ERR599092,ERX555962
ERR599092,ERX555962
ERR598951,ERX556082
ERR598951,ERX556082
ERR599043,ERX555952
ERR599043,ERX555952
ERR599094,ERX556032
ERR599094,ERX556032
ERR599153,ERX556124
ERR599153,ERX556124
ERR598969,ERX556018
ERR598969,ERX556018
ERR599106,ERX555912
ERR599106,ERX555912
ERR164417,ERX140296
ERR599041,ERX556080
ERR599041,ERX556080
ERR599116,ERX556022
ERR599116,ERX556022
ERR599155,ERX556066
ERR599155,ERX556066
ERR599061,ERX556055
ERR599061,ERX556055
ERR599097,ERX555931
ERR599097,ERX555931
ERR599049,ERX556035
ERR599049,ERX556035
ERR599134,ERX555946
ERR599134,ERX555946
ERR598959,ERX555909
ERR598959,ERX555909
ERR598991,ERX555978
ERR598991,ERX555978
ERR594328,ERX552240
ERR594328,ERX552240
ERR598975,ERX555956
ERR598975,ERX555956
ERR599111,ERX556025
ERR599111,ERX556025
ERR598966,ERX556073
ERR598966,ERX556073
ERR599143,ERX555943
ERR599143,ERX555943
ERR594334,ERX552247
ERR594334,ERX552247
ERR164414,ERX140300
ERR164419,ERX140303
ERR598974,ERX556135
