experiment,instrument,run,spots,bases,size,published
ERX555948[accn],Illumina HiSeq 2000,ERR598972,"40,411,436",8.1G,5Gb,2014-09-13
ERX555948[accn],Illumina HiSeq 2000,ERR598972,"40,411,436",8.1G,5Gb,2014-09-13
ERX556119[accn],Illumina HiSeq 2000,ERR599023,"125,264,316",24.2G,16.4Gb,2014-09-13
ERX556119[accn],Illumina HiSeq 2000,ERR599023,"125,264,316",24.2G,16.4Gb,2014-09-13
ERX556087[accn],Illumina HiSeq 2000,ERR599025,"39,513,746",7.9G,4.9Gb,2014-09-13
ERX556087[accn],Illumina HiSeq 2000,ERR599025,"39,513,746",7.9G,4.9Gb,2014-09-13
ERX552266[accn],Illumina HiSeq 2000,ERR594324,"62,694,109",12.7G,7.7Gb,2014-09-07
ERX552266[accn],Illumina HiSeq 2000,ERR594324,"62,694,109",12.7G,7.7Gb,2014-09-07
ERX555970[accn],Illumina HiSeq 2000,ERR598979,"47,194,699",9.1G,5.6Gb,2014-09-13
ERX555970[accn],Illumina HiSeq 2000,ERR598979,"47,194,699",9.1G,5.6Gb,2014-09-13
ERX556091[accn],Illumina HiSeq 2000,ERR599146,"97,905,348",19.2G,12.8Gb,2014-09-13
ERX556091[accn],Illumina HiSeq 2000,ERR599146,"97,905,348",19.2G,12.8Gb,2014-09-13
ERX552286[accn],Illumina HiSeq 2000,ERR594320,"88,258,112",17.8G,11.2Gb,2014-09-07
ERX552286[accn],Illumina HiSeq 2000,ERR594320,"88,258,112",17.8G,11.2Gb,2014-09-07
ERX555922[accn],Illumina HiSeq 2000,ERR598960,"194,078,658",38.2G,24.8Gb,2014-09-13
ERX555922[accn],Illumina HiSeq 2000,ERR598960,"194,078,658",38.2G,24.8Gb,2014-09-13
ERX555972[accn],Illumina HiSeq 2000,ERR599034,"29,284,233",5.8G,3.5Gb,2014-09-13
ERX555972[accn],Illumina HiSeq 2000,ERR599034,"29,284,233",5.8G,3.5Gb,2014-09-13
ERX556072[accn],Illumina HiSeq 2000,ERR598990,"56,663,585",11G,7Gb,2014-09-13
ERX556072[accn],Illumina HiSeq 2000,ERR598990,"56,663,585",11G,7Gb,2014-09-13
ERX555996[accn],Illumina HiSeq 2000,ERR599018,"24,680,500",4.8G,2.9Gb,2014-09-13
ERX555996[accn],Illumina HiSeq 2000,ERR599018,"24,680,500",4.8G,2.9Gb,2014-09-13
ERX556023[accn],Illumina HiSeq 2000,ERR599110,"135,439,143",26.2G,17.2Gb,2014-09-13
ERX556023[accn],Illumina HiSeq 2000,ERR599110,"135,439,143",26.2G,17.2Gb,2014-09-13
ERX552283[accn],Illumina HiSeq 2000,ERR594291,"93,685,458",18.9G,11.9Gb,2014-09-07
ERX552283[accn],Illumina HiSeq 2000,ERR594291,"93,685,458",18.9G,11.9Gb,2014-09-07
ERX556107[accn],Illumina HiSeq 2000,ERR598973,"36,385,625",7.6G,4.7Gb,2014-09-13
ERX556107[accn],Illumina HiSeq 2000,ERR598973,"36,385,625",7.6G,4.7Gb,2014-09-13
ERX556004[accn],Illumina HiSeq 2000,ERR599068,"36,796,981",7.6G,4.7Gb,2014-09-13
ERX556004[accn],Illumina HiSeq 2000,ERR599068,"36,796,981",7.6G,4.7Gb,2014-09-13
ERX555958[accn],Illumina HiSeq 2000,ERR599173,"87,183,074",17G,11.3Gb,2014-09-13
ERX555958[accn],Illumina HiSeq 2000,ERR599173,"87,183,074",17G,11.3Gb,2014-09-13
ERX556046[accn],Illumina HiSeq 2000,ERR598982,"37,527,741",7.8G,4.9Gb,2014-09-13
ERX556046[accn],Illumina HiSeq 2000,ERR598982,"37,527,741",7.8G,4.9Gb,2014-09-13
ERX556113[accn],Illumina HiSeq 2000,ERR599107,"37,400,168",7.7G,4.9Gb,2014-09-13
ERX556113[accn],Illumina HiSeq 2000,ERR599107,"37,400,168",7.7G,4.9Gb,2014-09-13
ERX556109[accn],Illumina HiSeq 2000,ERR598994,"39,041,527",8.1G,4.8Gb,2014-09-13
ERX556109[accn],Illumina HiSeq 2000,ERR598994,"39,041,527",8.1G,4.8Gb,2014-09-13
ERX556084[accn],Illumina HiSeq 2000,ERR599144,"39,615,848",8.3G,4.8Gb,2014-09-13
ERX556084[accn],Illumina HiSeq 2000,ERR599144,"39,615,848",8.3G,4.8Gb,2014-09-13
ERX552270[accn],Illumina HiSeq 2000,ERR594313,"174,220,439",35.2G,21.7Gb,2014-09-07
ERX552270[accn],Illumina HiSeq 2000,ERR594313,"174,220,439",35.2G,21.7Gb,2014-09-07
ERX552261[accn],Illumina HiSeq 2000,ERR594325,"174,320,759",35.2G,21.8Gb,2014-09-07
ERX552261[accn],Illumina HiSeq 2000,ERR594325,"174,320,759",35.2G,21.8Gb,2014-09-07
ERX555969[accn],Illumina HiSeq 2000,ERR598947,"157,763,425",31.3G,19.4Gb,2014-09-13
ERX555969[accn],Illumina HiSeq 2000,ERR598947,"157,763,425",31.3G,19.4Gb,2014-09-13
ERX556011[accn],Illumina HiSeq 2000,ERR599131,"29,092,053",5.8G,3.4Gb,2014-09-13
ERX556011[accn],Illumina HiSeq 2000,ERR599131,"29,092,053",5.8G,3.4Gb,2014-09-13
